,building_level,members_count,created_at,icon_uri,resized_icon_uri,updated_at
0,1_3,10,2021-11-17 05:12:44,block/building_level_1_3.png,"{""default"": {""url"": ""block/building_level_1_3.png"", ""width"": 512, ""height"": 512, ""mime_type"": ""png""}, ""tiny"": {""url"": ""block/building_level_1_3.tiny.png"", ""width"": 80, ""height"": 80, ""mime_type"": ""png""}, ""small"": {""url"": ""block/building_level_1_3.small.png"", ""width"": 160, ""height"": 160, ""mime_type"": ""png""}, ""medium"": {""url"": ""block/building_level_1_3.medium.png"", ""width"": 320, ""height"": 320, ""mime_type"": ""png""}}",2021-11-17 05:12:44
1,1_5,20,2021-11-17 05:12:44,block/building_level_1_5.png,"{""default"": {""url"": ""block/building_level_1_5.png"", ""width"": 512, ""height"": 512, ""mime_type"": ""png""}, ""tiny"": {""url"": ""block/building_level_1_5.tiny.png"", ""width"": 80, ""height"": 80, ""mime_type"": ""png""}, ""small"": {""url"": ""block/building_level_1_5.small.png"", ""width"": 160, ""height"": 160, ""mime_type"": ""png""}, ""medium"": {""url"": ""block/building_level_1_5.medium.png"", ""width"": 320, ""height"": 320, ""mime_type"": ""png""}}",2021-11-17 05:12:44
2,1_2,6,2021-11-17 05:12:44,block/building_level_1_2.png,"{""default"": {""url"": ""block/building_level_1_2.png"", ""width"": 512, ""height"": 512, ""mime_type"": ""png""}, ""tiny"": {""url"": ""block/building_level_1_2.tiny.png"", ""width"": 80, ""height"": 80, ""mime_type"": ""png""}, ""small"": {""url"": ""block/building_level_1_2.small.png"", ""width"": 160, ""height"": 160, ""mime_type"": ""png""}, ""medium"": {""url"": ""block/building_level_1_2.medium.png"", ""width"": 320, ""height"": 320, ""mime_type"": ""png""}}",2021-11-17 05:12:44
3,1_6,30,2021-11-17 05:12:44,block/building_level_1_6.png,"{""default"": {""url"": ""block/building_level_1_6.png"", ""width"": 512, ""height"": 512, ""mime_type"": ""png""}, ""tiny"": {""url"": ""block/building_level_1_6.tiny.png"", ""width"": 80, ""height"": 80, ""mime_type"": ""png""}, ""small"": {""url"": ""block/building_level_1_6.small.png"", ""width"": 160, ""height"": 160, ""mime_type"": ""png""}, ""medium"": {""url"": ""block/building_level_1_6.medium.png"", ""width"": 320, ""height"": 320, ""mime_type"": ""png""}}",2021-11-17 05:12:44
4,1_9,60,2021-11-17 05:12:44,block/building_level_1_9.png,"{""default"": {""url"": ""block/building_level_1_9.png"", ""width"": 512, ""height"": 512, ""mime_type"": ""png""}, ""tiny"": {""url"": ""block/building_level_1_9.tiny.png"", ""width"": 80, ""height"": 80, ""mime_type"": ""png""}, ""small"": {""url"": ""block/building_level_1_9.small.png"", ""width"": 160, ""height"": 160, ""mime_type"": ""png""}, ""medium"": {""url"": ""block/building_level_1_9.medium.png"", ""width"": 320, ""height"": 320, ""mime_type"": ""png""}}",2021-11-17 05:12:44
5,1_7,40,2021-11-17 05:12:44,block/building_level_1_7.png,"{""default"": {""url"": ""block/building_level_1_7.png"", ""width"": 512, ""height"": 512, ""mime_type"": ""png""}, ""tiny"": {""url"": ""block/building_level_1_7.tiny.png"", ""width"": 80, ""height"": 80, ""mime_type"": ""png""}, ""small"": {""url"": ""block/building_level_1_7.small.png"", ""width"": 160, ""height"": 160, ""mime_type"": ""png""}, ""medium"": {""url"": ""block/building_level_1_7.medium.png"", ""width"": 320, ""height"": 320, ""mime_type"": ""png""}}",2021-11-17 05:12:44
6,1_10,70,2021-11-17 05:12:44,block/building_level_1_10.png,"{""default"": {""url"": ""block/building_level_1_10.png"", ""width"": 512, ""height"": 512, ""mime_type"": ""png""}, ""tiny"": {""url"": ""block/building_level_1_10.tiny.png"", ""width"": 80, ""height"": 80, ""mime_type"": ""png""}, ""small"": {""url"": ""block/building_level_1_10.small.png"", ""width"": 160, ""height"": 160, ""mime_type"": ""png""}, ""medium"": {""url"": ""block/building_level_1_10.medium.png"", ""width"": 320, ""height"": 320, ""mime_type"": ""png""}}",2021-11-17 05:12:44
7,1_8,50,2021-11-17 05:12:44,block/building_level_1_8.png,"{""default"": {""url"": ""block/building_level_1_8.png"", ""width"": 512, ""height"": 512, ""mime_type"": ""png""}, ""tiny"": {""url"": ""block/building_level_1_8.tiny.png"", ""width"": 80, ""height"": 80, ""mime_type"": ""png""}, ""small"": {""url"": ""block/building_level_1_8.small.png"", ""width"": 160, ""height"": 160, ""mime_type"": ""png""}, ""medium"": {""url"": ""block/building_level_1_8.medium.png"", ""width"": 320, ""height"": 320, ""mime_type"": ""png""}}",2021-11-17 05:12:44
8,1_4,15,2021-11-17 05:12:44,block/building_level_1_4.png,"{""default"": {""url"": ""block/building_level_1_4.png"", ""width"": 512, ""height"": 512, ""mime_type"": ""png""}, ""tiny"": {""url"": ""block/building_level_1_4.tiny.png"", ""width"": 80, ""height"": 80, ""mime_type"": ""png""}, ""small"": {""url"": ""block/building_level_1_4.small.png"", ""width"": 160, ""height"": 160, ""mime_type"": ""png""}, ""medium"": {""url"": ""block/building_level_1_4.medium.png"", ""width"": 320, ""height"": 320, ""mime_type"": ""png""}}",2021-11-17 05:12:44
9,1_1,3,2021-11-17 05:12:44,block/building_level_1_1.png,"{""default"": {""url"": ""block/building_level_1_1.png"", ""width"": 512, ""height"": 512, ""mime_type"": ""png""}, ""tiny"": {""url"": ""block/building_level_1_1.tiny.png"", ""width"": 80, ""height"": 80, ""mime_type"": ""png""}, ""small"": {""url"": ""block/building_level_1_1.small.png"", ""width"": 160, ""height"": 160, ""mime_type"": ""png""}, ""medium"": {""url"": ""block/building_level_1_1.medium.png"", ""width"": 320, ""height"": 320, ""mime_type"": ""png""}}",2021-11-17 05:12:44
